seccion_electoral,municipio,municipio_texto,id_encuestador,latitud,longitud,fecha_hora,Modified Date,tiene_gps
140,1,Acapulco,100,,,2025-12-05 01:16:00,"Dec 5, 2025 1:16 am",False
4,3,Iguala,3,,,2025-12-05 06:56:00,"Dec 5, 2025 6:56 am",False
50,1,Acapulco,20,16.8736647,-99.8208632,2025-12-05 08:39:00,"Dec 5, 2025 8:51 am",True
295,1,Acapulco,1017,16.8567939,-99.8649705,2025-12-05 08:39:00,"Dec 5, 2025 8:56 am",True
171,1,Acapulco,10341,,,2025-12-05 08:50:00,"Dec 5, 2025 9:16 am",False
171,1,Acapulco,10342,,,2025-12-05 08:52:00,"Dec 5, 2025 9:10 am",False
171,1,Acapulco,10340,,,2025-12-05 08:53:00,"Dec 5, 2025 9:10 am",False
214,1,Acapulco,10350,,,2025-12-05 08:55:00,"Dec 5, 2025 8:55 am",False
145,1,Acapulco,10361,,,2025-12-05 08:58:00,"Dec 5, 2025 9:45 am",False
145,1,Acapulco,10351,,,2025-12-05 08:58:00,"Dec 5, 2025 10:03 am",False
295,1,Acapulco,101701,16.8567939,-99.8649705,2025-12-05 08:58:00,"Dec 5, 2025 8:58 am",True
165,1,Acapulco,10364,,,2025-12-05 09:09:00,"Dec 5, 2025 9:25 am",False
1259,2,Chilpancingo,235,17.5430005,-99.5220455,2025-12-05 09:12:00,"Dec 5, 2025 9:42 am",True
1259,2,Chilpancingo,237,17.5430005,-99.5220455,2025-12-05 09:12:00,"Dec 5, 2025 9:47 am",True
171,1,Acapulco,10342,,,2025-12-05 09:13:00,"Dec 5, 2025 9:40 am",False
125,1,Acapulco,10502,,,2025-12-05 09:13:00,"Dec 5, 2025 9:13 am",False
125,1,Acapulco,10502,,,2025-12-05 09:13:00,"Dec 5, 2025 9:13 am",False
1259,2,Chilpancingo,231,17.5430005,-99.5220455,2025-12-05 09:13:00,"Dec 5, 2025 10:05 am",True
1265,2,Chilpancingo,242,,,2025-12-05 09:13:00,"Dec 5, 2025 9:13 am",False
1265,2,Chilpancingo,247,,,2025-12-05 09:14:00,"Dec 5, 2025 9:14 am",False
1265,2,Chilpancingo,243,,,2025-12-05 09:14:00,"Dec 5, 2025 10:39 am",False
