id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
10,,,3,Iguala,Iván Hernández Díaz,Félix Salgado Macedonio,10,"Dec 2, 2025 1:11 pm","Dec 2, 2025 1:33 pm"
120,,,1,Acapulco,,,200,"Dec 2, 2025 8:18 pm","Dec 2, 2025 8:18 pm"
120,,,1,Acapulco,Iván Hernández Díaz,Javier Saldaña Almazán,1505,"Dec 2, 2025 8:50 pm","Dec 2, 2025 9:09 pm"
150,,,1,Acapulco,,,278,"Dec 3, 2025 3:55 pm","Dec 3, 2025 3:55 pm"
12,,,1,Acapulco,,,35,"Dec 4, 2025 12:03 pm","Dec 4, 2025 12:04 pm"
1,,,1,Acapulco,,,12,"Dec 4, 2025 12:04 pm","Dec 4, 2025 12:04 pm"
12,16.8247689,-99.8092824,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,306,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:27 pm"
50,,,1,Acapulco,Jacinto González Varona,Félix Salgado Macedonio,60,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:28 pm"
150,,,1,Acapulco,Jacinto González Varona,No respondió (NO LEER),157,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:23 pm"
150,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,157,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:30 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:05 pm"
110,,,1,Acapulco,Abelina López Rodríguez,Javier Saldaña Almazán,10,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:27 pm"
110,,,1,Acapulco,,,110,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:05 pm"
110,,,1,Acapulco,,,110,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:07 pm"
1,,,1,Acapulco,,,110,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:15 pm"
150,16.8116682,-99.8023503,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,2807,"Dec 4, 2025 12:05 pm","Dec 4, 2025 12:27 pm"
110,,,1,Acapulco,Iván Hernández Díaz,Ninguno (NO LEER),110,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:25 pm"
110,,,1,Acapulco,Abelina López Rodríguez,Javier Saldaña Almazán,110,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:27 pm"
2,16.9524999,-99.8033333,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,343,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:16 pm"
1,,,1,Acapulco,Iván Hernández Díaz,No sabe (NO LEER),1,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:26 pm"
1,,,1,Acapulco,Iván Hernández Díaz,Félix Salgado Macedonio,10,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:27 pm"
110,16.8113746,-99.8227366,1,Acapulco,Iván Hernández Díaz,Ninguno (NO LEER),110,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:30 pm"
1,,,1,Acapulco,Iván Hernández Díaz,No respondió (NO LEER),110,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:15 pm"
1,,,1,Acapulco,Abelina López Rodríguez,Félix Salgado Macedonio,1,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:28 pm"
24,,,1,Acapulco,Pablo Amílcar Sandoval Ballesteros,No respondió (NO LEER),123,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:27 pm"
11,,,1,Acapulco,,,309,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:07 pm"
110,16.8711936,-99.815098,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,265,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:25 pm"
25,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,306,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:20 pm"
1,,,1,Acapulco,,,151,"Dec 4, 2025 12:06 pm","Dec 4, 2025 12:11 pm"
111,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,202,"Dec 4, 2025 12:07 pm","Dec 4, 2025 12:23 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:07 pm","Dec 4, 2025 12:08 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:07 pm","Dec 4, 2025 12:07 pm"
110,16.8300322,-99.7781846,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,110,"Dec 4, 2025 12:07 pm","Dec 4, 2025 12:34 pm"
