seccion,nombre_municipio,grupo_supervisor,encuestas_totales
1507,IGUALA DE LA INDEPENDENCIA,2,12
1509,IGUALA DE LA INDEPENDENCIA,5,12
1517,IGUALA DE LA INDEPENDENCIA,6,12
1527,IGUALA DE LA INDEPENDENCIA,2,12
1530,IGUALA DE LA INDEPENDENCIA,3,12
1531,IGUALA DE LA INDEPENDENCIA,3,12
1532,IGUALA DE LA INDEPENDENCIA,3,12
1540,IGUALA DE LA INDEPENDENCIA,3,12
1541,IGUALA DE LA INDEPENDENCIA,3,12
1493,IGUALA DE LA INDEPENDENCIA,1,12
1481,IGUALA DE LA INDEPENDENCIA,5,12
1494,IGUALA DE LA INDEPENDENCIA,1,12
1480,IGUALA DE LA INDEPENDENCIA,5,24
1488,IGUALA DE LA INDEPENDENCIA,2,12
1489,IGUALA DE LA INDEPENDENCIA,2,12
1483,IGUALA DE LA INDEPENDENCIA,5,12
1484,IGUALA DE LA INDEPENDENCIA,5,24
1502,IGUALA DE LA INDEPENDENCIA,2,12
1485,IGUALA DE LA INDEPENDENCIA,1,24
1486,IGUALA DE LA INDEPENDENCIA,2,12
1491,IGUALA DE LA INDEPENDENCIA,1,12
1492,IGUALA DE LA INDEPENDENCIA,1,12
1503,IGUALA DE LA INDEPENDENCIA,2,12
1505,IGUALA DE LA INDEPENDENCIA,2,12
1495,IGUALA DE LA INDEPENDENCIA,1,24
1496,IGUALA DE LA INDEPENDENCIA,1,12
1499,IGUALA DE LA INDEPENDENCIA,1,24
1500,IGUALA DE LA INDEPENDENCIA,6,12
1501,IGUALA DE LA INDEPENDENCIA,6,12
1516,IGUALA DE LA INDEPENDENCIA,6,12
1519,IGUALA DE LA INDEPENDENCIA,6,12
1521,IGUALA DE LA INDEPENDENCIA,4,12
1522,IGUALA DE LA INDEPENDENCIA,4,12
1523,IGUALA DE LA INDEPENDENCIA,4,12
1524,IGUALA DE LA INDEPENDENCIA,4,12
1525,IGUALA DE LA INDEPENDENCIA,4,12
1526,IGUALA DE LA INDEPENDENCIA,4,12
1534,IGUALA DE LA INDEPENDENCIA,5,12
